CASE_NUMBER,BARRACK,ACC_DATE,ACC_TIME,ACC_TIME_CODE,DAY_OF_WEEK,ROAD,INTERSECT_ROAD,DIST_FROM_INTERSECT,DIST_DIRECTION,CITY_NAME,COUNTY_CODE,COUNTY_NAME,VEHICLE_COUNT,PROP_DEST,INJURY,COLLISION_WITH_1,COLLISION_WITH_2
1363000002,Rockville,01/01/2012 12:00:00 AM,2:01,1,SUNDAY   ,IS 00495 CAPITAL BELTWAY,IS 00270 EISENHOWER MEMORIAL,0,U,Not Applicable,15,Montgomery,2,YES,NO,VEH,OTHER-COLLISION
1296000023,Berlin,01/01/2012 12:00:00 AM,18:01,5,SUNDAY   ,MD 00090 OCEAN CITY EXPWY,CO 00220 ST MARTINS NECK RD,0.25,W,Not Applicable,23,Worcester,1,YES,NO,FIXED OBJ,OTHER-COLLISION
1283000016,Prince Frederick,01/01/2012 12:00:00 AM,7:01,2,SUNDAY   ,MD 00765 MAIN ST,CO 00208 DUKE ST,100,S,Not Applicable,4,Calvert,1,YES,NO,FIXED OBJ,FIXED OBJ
1282000006,Leonardtown,01/01/2012 12:00:00 AM,0:01,1,SUNDAY   ,MD 00944 MERVELL DEAN RD,MD 00235 THREE NOTCH RD,10,E,Not Applicable,18,St. Marys,1,YES,NO,FIXED OBJ,OTHER-COLLISION
1267000007,Essex,01/01/2012 12:00:00 AM,1:01,1,SUNDAY   ,IS 00695 BALTO BELTWAY,IS 00083 HARRISBURG EXPWY,100,S,Not Applicable,3,Baltimore,2,YES,NO,VEH,OTHER-COLLISION
1267000006,Essex,01/01/2012 12:00:00 AM,1:01,1,SUNDAY   ,IS 00083 HARRISBURG EXPWY,MD 00137 MT CARMEL RD,0.25,S,Not Applicable,3,Baltimore,,NO,YES,FIXED OBJ,OTHER-COLLISION
1267000005,Essex,01/01/2012 12:00:00 AM,1:01,1,SUNDAY   ,IS 00070 NO NAME,IS 00695 BALTO BELTWAY,1.5,S,Not Applicable,3,Baltimore,1,YES,NO,FIXED OBJ,OTHER-COLLISION
1266000090,College Park,01/01/2012 12:00:00 AM,6:01,2,SUNDAY   ,IS 00095 NO NAME,CO 00014 CHERRY HILL RD,0.25,S,Not Applicable,16,Prince Georges,2,YES,NO,VEH,OTHER-COLLISION
1266000025,College Park,01/01/2012 12:00:00 AM,14:01,4,SUNDAY   ,US 00050 JOHN HANSON HWY,MD 00410 VETERANS PKWY,0.25,E,Not Applicable,16,Prince Georges,1,YES,YES,FIXED OBJ,OTHER-COLLISION
1266000016,College Park,01/01/2012 12:00:00 AM,6:01,2,SUNDAY   ,US 00050 JOHN HANSON HWY,US 00050 ARDWICK ARDMORE RD,100,,Not Applicable,16,Prince Georges,1,YES,NO,FIXED OBJ,OTHER-COLLISION
1266000008,College Park,01/01/2012 12:00:00 AM,5:01,2,SUNDAY   ,IS 00095 CAPITAL BELTWAY,MD 00201 KENILWORTH AVE,0.25,N,Not Applicable,16,Prince Georges,2,NO,NO,VEH,OTHER-COLLISION
1265000019,Glen Burnie,01/01/2012 12:00:00 AM,17:01,5,SUNDAY   ,RP 00097 RAMP IS 97 TO MD 176,MD 00176 DORSEY RD,100,W,Not Applicable,2,Anne Arundel,1,YES,NO,FIXED OBJ,OTHER-COLLISION
